year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,owner,frame_damage,Odometer_problem,VIN,class,State Title Brand,Auction Brand / Issues,Accident / Damage,Open Recall Check,Insurance Loss / Transfer,Odometer Check,Certified Pre-Owned,Service / Repair,Miles per gallon equivalent (MPGe),Range (when new),Time to fully charge battery (240V)
2019,BMW,X3 XDrive30i,30998,21000,22 city/29 hwy,,,,Automatic,Gray/Black,1 Owner,No flood or frame damage,No odometer problems,5UXTR9C53KLP97083,CUV - Midsize Luxury,Clean,No Issue,Minor,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,430 I xDrive,29998,43000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Red,2 Owners,No flood or frame damage,No odometer problems,WBA4W5C59KAE49534,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,X3 XDrive30i,31998,30000,23 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,1 Owner,No flood or frame damage,No odometer problems,5UXTY5C04M9G76596,CUV - Midsize Luxury,Clean,No Issue,Damage Reported,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,X1 XDrive28i,23998,45000,22 city/31 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Tan,2 Owners,No flood or frame damage,No odometer problems,WBXHT3C57K3H36296,CUV - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2022,BMW,X2 M35i,27998,68000,23 city/30 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,WBXYN1C06N5T48503,CUV - Compact Luxury,Clean,No Issue,Minor,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2017,BMW,X3 XDrive28i,23998,31000,21 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,3 Owners,No flood or frame damage,No odometer problems,5UXWX9C39H0T16670,CUV - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2017,BMW,X3 XDrive28i,20998,53000,21 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,3 Owners,No flood or frame damage,No odometer problems,5UXWX9C31H0W76385,CUV - Compact Luxury,Clean,No Issue,Damage Reported,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,430 I xDrive Gran Coupe,22998,62000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,WBA4J3C55KBL07224,Car - Compact Luxury,Clean,No Issue,Moderate,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,840 I xDrive Gran Coupe,44998,58000,20 city/27 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Brown,1 Owner,No flood or frame damage,No odometer problems,WBAGV4C06MCE95084,Sport Car - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2017,BMW,530 I,21998,61000,24 city/34 hwy,4-cyl,Turbo Gas,Rear Wheel Drive,Automatic,Black/Brown,2 Owners,No flood or frame damage,No odometer problems,WBAJA5C31HG897687,Car - Midsize Luxury,Clean,No Issue,Minor,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2020,BMW,X5 xDrive40i,40998,35000,20 city/26 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,3 Owners,No flood or frame damage,No odometer problems,5UXCR6C08L9B83358,CUV - Midsize Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2021,BMW,X3 Plug In Hybrid xDrive30e,35998,24000,,4-cyl,Plug-in Hybrid,All Wheel Drive,,Blue/Cream,2 Owners,No flood or frame damage,No odometer problems,5UXTS1C00M9D97379,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,59 city/61 hwy,18 miles,3 hours
2020,BMW,330 I xDrive,26998,53000,25 city/34 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Brown,2 Owners,No flood or frame damage,No odometer problems,WBA5R7C03LFH33970,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
